,node,label
0,0,0
1,1,1
2,2,0
3,3,2
4,4,3
5,5,3
6,6,0
7,7,1
8,8,3
9,9,5
10,10,1
11,11,0
12,12,2
13,13,1
14,14,2
15,15,1
16,16,2
17,17,4
18,18,0
19,19,0
20,20,0
21,21,1
22,22,1
23,23,2
24,24,1
25,25,4
26,26,2
27,27,0
28,28,1
29,29,4
30,30,4
31,31,4
32,32,4
33,33,0
34,34,1
35,35,0
36,36,3
37,37,1
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,1
49,49,0
50,50,1
51,51,1
52,52,0
53,53,5
54,54,1
55,55,2
56,56,4
57,57,2
58,58,1
59,59,0
60,60,2
61,61,5
62,62,1
63,63,3
64,64,0
65,65,1
66,66,1
67,67,1
68,68,2
69,69,1
70,70,0
71,71,0
72,72,0
73,73,2
74,74,4
75,75,0
76,76,0
77,77,4
78,78,4
79,79,1
80,80,2
81,81,0
82,82,1
83,83,4
84,84,0
85,85,1
86,86,2
87,87,3
88,88,1
89,89,0
90,90,4
91,91,5
92,92,0
93,93,1
94,94,1
95,95,1
96,96,4
97,97,3
98,98,1
99,99,0
100,100,1
101,101,0
102,102,4
103,103,1
104,104,0
105,105,1
106,106,1
107,107,1
108,108,2
109,109,0
110,110,0
111,111,0
112,112,2
113,113,3
114,114,0
115,115,0
116,116,0
117,117,2
118,118,1
119,119,0
120,120,2
121,121,0
122,122,1
123,123,4
124,124,3
125,125,0
126,126,3
127,127,1
128,128,2
129,129,5
130,130,4
131,131,0
132,132,0
133,133,0
134,134,3
135,135,5
136,136,0
137,137,0
138,138,0
139,139,0
140,140,3
141,141,0
142,142,0
143,143,5
144,144,0
145,145,0
146,146,0
147,147,1
148,148,0
149,149,2
150,150,2
151,151,1
152,152,1
153,153,1
154,154,1
155,155,1
156,156,1
157,157,1
158,158,0
159,159,4
160,160,0
161,161,5
162,162,4
163,163,0
164,164,2
165,165,0
166,166,0
167,167,1
168,168,2
169,169,5
170,170,0
171,171,0
172,172,4
173,173,3
174,174,0
175,175,4
176,176,1
177,177,0
178,178,1
179,179,4
180,180,1
181,181,0
182,182,1
183,183,4
184,184,1
185,185,0
186,186,0
187,187,0
188,188,0
189,189,1
190,190,0
191,191,4
192,192,0
193,193,0
194,194,1
195,195,5
196,196,0
197,197,0
198,198,0
199,199,0
200,200,1
201,201,3
202,202,0
203,203,0
204,204,0
205,205,1
206,206,1
207,207,5
208,208,0
209,209,0
210,210,5
211,211,0
212,212,1
213,213,1
214,214,0
215,215,4
216,216,1
217,217,3
218,218,4
219,219,1
220,220,1
221,221,1
222,222,1
223,223,1
224,224,1
225,225,5
226,226,0
227,227,1
228,228,1
229,229,0
230,230,0
231,231,1
232,232,1
233,233,1
234,234,1
235,235,1
236,236,1
237,237,0
238,238,2
239,239,0
240,240,0
241,241,0
242,242,0
243,243,4
244,244,1
245,245,0
246,246,0
247,247,0
248,248,1
249,249,5
250,250,0
251,251,1
252,252,0
253,253,1
254,254,1
255,255,0
256,256,1
257,257,1
258,258,0
259,259,1
260,260,0
261,261,1
262,262,4
263,263,3
264,264,0
265,265,1
266,266,4
267,267,1
268,268,4
269,269,3
270,270,3
271,271,0
272,272,4
273,273,3
274,274,4
275,275,1
276,276,1
277,277,0
278,278,4
279,279,5
280,280,3
281,281,0
282,282,0
283,283,3
284,284,4
285,285,4
286,286,4
287,287,0
288,288,3
289,289,3
290,290,3
291,291,1
292,292,1
293,293,5
294,294,3
295,295,1
296,296,1
297,297,4
298,298,3
299,299,1
300,300,5
301,301,2
302,302,1
303,303,1
304,304,1
305,305,4
306,306,0
307,307,0
308,308,2
309,309,5
310,310,1
311,311,2
312,312,0
313,313,0
314,314,0
315,315,0
316,316,0
317,317,1
318,318,1
319,319,0
320,320,0
321,321,1
322,322,1
323,323,0
324,324,2
325,325,2
326,326,2
327,327,2
328,328,3
329,329,3
330,330,3
331,331,2
332,332,1
333,333,0
334,334,0
335,335,1
336,336,1
337,337,0
338,338,4
339,339,0
340,340,0
341,341,0
342,342,1
343,343,5
344,344,0
345,345,0
346,346,0
347,347,0
348,348,0
349,349,1
350,350,0
351,351,0
352,352,2
353,353,2
354,354,2
355,355,1
356,356,1
357,357,1
358,358,5
359,359,5
360,360,0
361,361,0
362,362,2
363,363,1
364,364,1
365,365,1
366,366,1
367,367,0
368,368,0
369,369,0
370,370,5
371,371,2
372,372,1
373,373,0
374,374,1
375,375,2
376,376,2
377,377,2
378,378,2
379,379,0
380,380,4
381,381,5
382,382,1
383,383,2
384,384,2
385,385,0
386,386,0
387,387,0
388,388,0
389,389,0
390,390,1
391,391,1
392,392,1
393,393,0
394,394,0
395,395,3
396,396,5
397,397,5
398,398,5
399,399,0
400,400,0
401,401,0
402,402,0
403,403,0
404,404,0
405,405,0
406,406,1
407,407,4
408,408,1
409,409,0
410,410,0
411,411,0
412,412,0
413,413,5
414,414,1
415,415,5
416,416,0
417,417,0
418,418,0
419,419,1
420,420,1
421,421,2
422,422,1
423,423,2
424,424,0
425,425,0
426,426,0
427,427,1
428,428,1
429,429,4
430,430,4
431,431,3
432,432,5
433,433,5
434,434,0
435,435,0
436,436,0
437,437,1
438,438,1
439,439,1
440,440,1
441,441,2
442,442,1
443,443,2
444,444,1
445,445,1
446,446,4
447,447,1
448,448,0
449,449,2
450,450,2
451,451,1
452,452,4
453,453,0
454,454,0
455,455,1
456,456,1
457,457,4
458,458,4
459,459,1
460,460,1
461,461,2
462,462,1
463,463,1
464,464,0
465,465,5
466,466,5
467,467,0
468,468,1
469,469,1
470,470,1
471,471,1
472,472,0
473,473,1
474,474,4
475,475,1
476,476,1
477,477,1
478,478,0
479,479,4
480,480,0
481,481,1
482,482,1
483,483,1
484,484,0
485,485,1
486,486,0
487,487,0
488,488,0
489,489,0
490,490,4
491,491,5
492,492,0
493,493,0
494,494,0
495,495,0
496,496,0
497,497,0
498,498,4
499,499,0
500,500,0
501,501,1
502,502,1
503,503,1
504,504,0
505,505,4
506,506,0
507,507,1
508,508,1
509,509,0
510,510,1
511,511,0
512,512,2
513,513,2
514,514,0
515,515,0
516,516,1
517,517,1
518,518,2
519,519,0
520,520,0
521,521,1
522,522,1
523,523,1
524,524,2
525,525,1
526,526,0
527,527,0
528,528,3
529,529,0
530,530,0
531,531,0
532,532,0
533,533,4
534,534,4
535,535,1
536,536,0
537,537,4
538,538,1
539,539,1
540,540,3
541,541,1
542,542,0
543,543,5
544,544,3
545,545,2
546,546,0
547,547,1
548,548,0
549,549,1
550,550,1
551,551,1
552,552,2
553,553,4
554,554,1
555,555,1
556,556,2
557,557,1
558,558,1
559,559,5
560,560,1
561,561,4
562,562,4
563,563,5
564,564,0
565,565,5
566,566,1
567,567,4
568,568,0
569,569,0
570,570,0
571,571,1
572,572,1
573,573,1
574,574,1
575,575,1
576,576,1
577,577,3
578,578,2
579,579,0
580,580,1
581,581,1
582,582,5
583,583,0
584,584,0
585,585,0
586,586,1
587,587,0
588,588,2
589,589,0
590,590,1
591,591,3
592,592,1
593,593,0
594,594,0
595,595,0
596,596,0
597,597,1
598,598,1
599,599,1
600,600,0
601,601,4
602,602,1
603,603,0
604,604,0
605,605,0
606,606,0
607,607,0
608,608,1
609,609,1
610,610,5
611,611,0
612,612,0
613,613,0
614,614,3
615,615,3
616,616,1
617,617,4
618,618,0
619,619,1
620,620,0
621,621,0
622,622,0
623,623,0
624,624,0
625,625,0
626,626,2
627,627,3
628,628,5
629,629,2
630,630,0
631,631,0
632,632,0
633,633,1
